Rank,Player Name,Age,Country,Points,Change
388,Vitaliy Sachko,27,UKR,125,-2
389,Oliver Crawford,25,GBR,125,-2
390,Franco Agamenone,31,ITA,124,+1
391,Gerard Campana Lee,20,KOR,123,-2
392,Egor Gerasimov,32,BLR,121,-23
393,Nicola Kuhn,24,GER,121,-1
394,Dino Prižmić,19,CRO,121,-24
395,Petr Bar Biryukov,22,RUS,121,+7
396,Giovanni Fonio,26,ITA,121,-8
397,Alejo Lorenzo Lingua Lavallén,23,ARG,120,-3
398,Lilian Marmousez,23,FRA,120,-3
399,Marko Topo,21,GER,120,-3
400,Ryan Nijboer,25,NED,119,-2
401,Moerani Bouzige,25,AUS,119,+13
402,Norbert Gombos,34,SVK,118,-3
403,Hynek Bartoň,20,CZE,118,-3
404,Robert Strombachs,25,LAT,118,-7
405,Ryan Seggerman,25,USA,117,-4
406,Anton Matusevich,23,GBR,116,+16
407,Hiroki Moriya,34,JPN,116,+25
408,Henry Searle,18,GBR,115,-1
409,Vadym Ursu,28,UKR,115,-5
410,Guido Iván Justo,27,ARG,115,-5
411,Pedro Araújo,22,POR,114,-18
412,Yibing Wu,25,CHN,113,-4
413,Evgenii Tiurnev,27,RUS,113,-3
414,Max Alcalá Gurri,22,ESP,113,+14
415,Tyler Zink,24,USA,112,-3
416,Saba Purtseladze,23,GEO,112,+11
417,Gabriele Piraino,21,ITA,112,+1
418,Borna Gojo,26,CRO,111,-3
419,Alastair Gray,26,GBR,111,
420,Micah Braswell,23,USA,111,+5
421,Gabriele Pennaforti,24,ITA,111,+3
422,David Jordá Sanchis,30,ESP,110,-16
423,João Lucas Reis Da Silva,24,BRA,110,-6
424,Govind Nanda,24,USA,109,+2
425,Kasidit Samrej,24,THA,109,-4
426,Marco Cecchinato,32,ITA,109,-6
427,Miloš Karol,22,SVK,109,-14
428,Andrej Martin,35,SVK,108,+5
429,Miguel Damas,25,ESP,108,-6
430,Lucas Poullain,29,FRA,108,+18
431,Garrett Johns,24,USA,107,+28
432,Hernán Casanova,31,ARG,106,-23
433,Tommaso Compagnucci,25,ITA,106,+2
434,Lukáš Pokorný,22,SVK,106,+9
435,Nerman Fatić,30,BIH,105,-4
436,Petr Nesterov,21,BUL,105,+1
437,Gonzalo Villanueva,30,ARG,105,-8
438,Raúl Brancaccio,27,ITA,104,-4
439,Stefan Popović,21,SRB,103,+11
440,Neil Oberleitner,25,AUT,102,+2
441,Valerio Aboian,22,ARG,102,-3
442,Arthur Fery,22,GBR,101,+137
443,Ryan Peniston,29,GBR,101,-3
444,Lucas Gerch,30,GER,101,-3
445,Jules Marie,33,FRA,101,-55
446,Patrick Maloney,25,USA,99,-2
447,Ramkumar Ramanathan,30,IND,97,-11
448,Ernesto Escobedo,28,MEX,97,-2
449,Mukund Sasikumar,28,IND,97,-33
450,Gianluca Cadenasso,20,ITA,96,+2
451,Michiel De Krom,26,NED,96,-2
452,Bor Artnak,20,SLO,94,+1
453,Roberto Cid Subervi,31,DOM,94,-6
454,Kokoro Isomura,22,JPN,94,
455,Alexander Weis,27,ITA,94,
456,Tom Paris,22,FRA,93,
457,Laurent Lokoli,30,FRA,93,-6
458,Dan Alexandru Tomescu,25,ROU,93,-1
459,Daniil Glinka,24,EST,92,+1
460,Alessandro Pecci,23,ITA,91,+1
461,Lorenzo Joaquín Rodríguez,25,ARG,91,+23
462,Michael Agwi,21,IRL,90,-32
463,Orlando Luz,27,BRA,90,-1
464,Carlos Lopez Montagud,24,ESP,90,+2
465,Peter Bertran,28,DOM,89,
466,Pedro Boscardin Dias,22,BRA,89,+28
467,Tomás Farjat,24,ARG,88,+1
468,Aidan McHugh,24,GBR,88,+29
469,Svyatoslav Gulin,22,RUS,88,+2
470,Federico Iannaccone,25,ITA,88,
471,Altuğ Çelikbilek,28,TUR,87,-13
472,Tom Gentzsch,21,GER,87,-9
473,Jake Delaney,27,AUS,87,-1
474,Jonáš Forejtek,23,CZE,86,-1
475,Duarte Vale,26,POR,86,+1
476,Blake Mott,28,AUS,86,-1
477,Egor Agafonov,22,RUS,86,
478,George Loffhagen,23,GBR,85,+54
479,Kyle Edmund,30,GBR,85,-1
480,Moez Echargui,32,TUN,85,+48
481,Aleksandre Bakshi,27,GEO,85,-1
482,Ajeet Rai,26,NZL,85,+9
483,Lucas Bouquet,27,FRA,85,-4
484,Juan Carlos Aguilar,26,CAN,84,-3
485,Mohamed Safwat,34,EGY,84,-11
486,Pawel Juszczak,31,POL,84,-4
487,Kiranpal Pannu,28,NZL,84,-4
488,Stefanos Sakellaridis,20,GRE,84,-19
489,Alafia Ayeni,25,USA,83,-2
490,Florent Bax,25,FRA,83,-5
491,Stefan Dostanic,23,USA,82,-3
492,Mariano Kestelboim,29,ARG,82,-3
493,Max Wiskandt,23,GER,82,
494,Leo Borg,21,SWE,81,-4
495,Yanaki Milev,20,BUL,81,-3
496,Facundo Juárez,27,ITA,80,-1
497,Tibo Colson,24,BEL,80,+1
498,Yurii Dzhavakian,31,UKR,80,+1
499,Omni Kumar,23,USA,79,+1
500,Giovanni Oradini,27,ITA,79,-4
501,Bruno Kuzuhara,20,USA,79,
502,Karan Singh,21,IND,79,
503,Eric Vanshelboim,23,UKR,79,
504,Tiago Pereira,20,POR,79,
505,Martin Damm,21,USA,78,-38
506,Andrew Paulson,23,CZE,78,-1
507,Marvin Möller,26,GER,77,+24
508,Martin Krumich,22,CZE,77,
509,Alexandr Binda,23,ITA,77,-3
510,Hazem Naw,25,SYR,76,-46
511,Stefan Palosi,25,ROU,76,-4
512,Peter Fajta,22,HUN,76,+9
513,Alvin Nicholas Tudorica,23,CAN,75,+69
514,Benoît Paire,35,FRA,75,-28
515,Yusuke Takahashi,27,JPN,75,-6
516,Jason Kubler,31,AUS,74,-6
517,Riccardo Bonadio,31,ITA,74,-6
518,Andrea Guerrieri,26,ITA,74,-5
519,Federico Bondioli,19,ITA,74,
520,Kirill Kivattsev,27,RUS,74,-8
521,Dan Added,25,FRA,74,-4
522,José Pereira,34,BRA,73,-8
523,Stijn Slump,26,NED,73,-8
524,Federico Cina,17,ITA,73,-8
525,Marcello Serafini,22,ITA,72,-7
526,João Eduardo Schiessl,20,BRA,72,-6
527,Dominik Kellovský,28,CZE,72,+9
528,Bogdan Bobrov,27,RUS,72,-6
529,Andres Martin,23,USA,71,+4
530,Mathias Bourgue,31,FRA,71,-1
531,Alex Molčan,27,SVK,70,-5
532,Iñaki Montes De La Torre,22,ESP,70,-5
533,Florian Broska,27,GER,70,-9
534,Iliyan Radulov,19,BUL,70,+4
535,Yishai Oliel,25,ISR,69,-1
536,Keegan Smith,26,USA,69,+16
537,Jacob Bradshaw,22,AUS,69,
538,Oleksii Krutykh,24,UKR,69,+1
