rank,Player,Age,Nationality,Flag,Pts
38,Flavio Cobolli,22,ITA,IT,1345
59,Luciano Darderi,23,ITA,IT,985
68,Mattia Bellucci,23,ITA,IT,833
77,Luca Nardi,21,ITA,IT,749
90,Francesco Passaro,24,ITA,IT,658
92,Fabio Fognini,37,ITA,IT,629
200,Matteo Gigante,23,ITA,IT,293
217,Federico Arnaboldi,24,ITA,IT,261
229,Andrea Vavassori,29,ITA,IT,239
248,Stefano Napolitano,29,ITA,IT,219
253,Andrea Pellegrino,27,ITA,IT,216
257,Francesco Maestrelli,22,ITA,IT,211
269,Lorenzo Giustino,33,ITA,IT,200
281,Stefano Travaglia,33,ITA,IT,190
296,Enrico Dalla Valle,26,ITA,IT,178
306,Samuel Vincent Ruggeri,22,ITA,IT,171
314,Gianluca Mager,30,ITA,IT,164
316,Jacopo Berrettini,26,ITA,IT,164
351,Andrea Picchione,26,ITA,IT,143
359,Giulio Zeppieri,23,ITA,IT,138
388,Franco Agamenone,31,ITA,IT,124
394,Giovanni Fonio,26,ITA,IT,121
416,Gabriele Piraino,21,ITA,IT,112
420,Gabriele Pennaforti,24,ITA,IT,111
425,Marco Cecchinato,32,ITA,IT,109
433,Tommaso Compagnucci,25,ITA,IT,106
438,Raúl Brancaccio,27,ITA,IT,104
449,Gianluca Cadenasso,20,ITA,IT,96
454,Alexander Weis,27,ITA,IT,94
460,Alessandro Pecci,23,ITA,IT,91
470,Federico Iannaccone,25,ITA,IT,88
496,Facundo Juárez,27,ITA,IT,80
500,Giovanni Oradini,27,ITA,IT,79
509,Alexandr Binda,23,ITA,IT,77
517,Riccardo Bonadio,31,ITA,IT,74
518,Andrea Guerrieri,26,ITA,IT,74
519,Federico Bondioli,19,ITA,IT,74
524,Federico Cina,17,ITA,IT,73
525,Marcello Serafini,22,ITA,IT,72
542,Luca Potenza,24,ITA,IT,67
584,Gianmarco Ferrari,24,ITA,IT,59
604,Fabrizio Andaloro,24,ITA,IT,55
639,Alessandro Giannessi,34,ITA,IT,48
640,Mariano Tammaro,20,ITA,IT,48
651,Federico Gaio,32,ITA,IT,45
661,Leonardo Rossi,22,ITA,IT,45
687,Massimo Giunta,20,ITA,IT,41
722,Filippo Romano,19,ITA,IT,36
724,Giuseppe La Vela,24,ITA,IT,36
730,Samuele Pieri,22,ITA,IT,35
738,Luca Castagnola,22,ITA,IT,34
744,Edoardo Lavagno,26,ITA,IT,33
756,Fausto Tabacco,22,ITA,IT,32
762,Lorenzo Carboni,18,ITA,IT,32
763,Michele Ribecai,22,ITA,IT,32
782,Lorenzo Rottoli,23,ITA,IT,30
790,Niccolo Catini,27,ITA,IT,30
817,Carlo Alberto Caniato,19,ITA,IT,26
819,Pierluigi Basile,18,ITA,IT,25
826,Stefano D'Agostino,21,ITA,IT,25
831,Manuel Mazza,25,ITA,IT,24
838,Francesco Ferrari,27,ITA,IT,24
841,Gabriele Maria Noce,29,ITA,IT,24
844,Lorenzo Bocchi,27,ITA,IT,23
859,Noah Perfetti,23,ITA,IT,23
881,Luca Fantini,24,ITA,IT,21
889,Alessandro Bellifemine,23,ITA,IT,20
912,Iannis Miletich,19,ITA,IT,19
